request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
req_028,856.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_029,883.00,partially_affordable,partial_payment,"2 payments: 441.50 GBP on 2026-09-12, 441.50 GBP on 2026-09-22 (Total: 883.00 GBP, Option: NONE)",2026-09-22,none,Partially affordable up to 883.00 GBP. Paying above this amount breaches your 500.00 USD reserve.
req_030,910.00,partially_affordable,partial_payment,"2 payments: 455.00 USD on 2026-09-12, 455.00 USD on 2026-09-15 (Total: 910.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 910.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_031,937.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 467.00 EUR on 2026-09-25 (Total: 937.00 EUR, Option: NONE)",2026-09-25,none,Partially affordable up to 937.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_032,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_033,991.00,partially_affordable,partial_payment,"2 payments: 495.50 USD on 2026-09-12, 495.50 USD on 2026-09-27 (Total: 991.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 991.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_034,1018.00,partially_affordable,partial_payment,"2 payments: 509.00 EUR on 2026-09-12, 509.00 EUR on 2026-09-22 (Total: 1018.00 EUR, Option: NONE)",2026-09-22,none,Partially affordable up to 1018.00 EUR. Paying above this amount breaches your 500.00 USD reserve.
req_035,1045.00,partially_affordable,partial_payment,"2 payments: 522.50 GBP on 2026-09-12, 522.50 GBP on 2026-09-15 (Total: 1045.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1045.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_036,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_037,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_038,1126.00,partially_affordable,partial_payment,"2 payments: 563.00 GBP on 2026-09-12, 563.00 GBP on 2026-09-27 (Total: 1126.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1126.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_039,1153.00,partially_affordable,partial_payment,"2 payments: 1050.00 USD on 2026-09-12, 103.00 USD on 2026-09-22 (Total: 1153.00 USD, Option: NONE)",2026-09-22,none,Partially affordable up to 1153.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_040,1180.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_041,470.00,not_affordable,not_recommended,NONE,2026-10-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-10-25.
req_042,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_043,1261.00,partially_affordable,partial_payment,"2 payments: 630.50 EUR on 2026-09-12, 630.50 EUR on 2026-09-27 (Total: 1261.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1261.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_044,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_045,1315.00,partially_affordable,partial_payment,"2 payments: 657.50 USD on 2026-09-12, 657.50 USD on 2026-09-15 (Total: 1315.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1315.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_046,1342.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 872.00 EUR on 2026-10-25 (Total: 1342.00 EUR, Option: NONE)",2026-10-25,none,Partially affordable up to 1342.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_047,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_048,1396.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_049,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_050,1450.00,partially_affordable,partial_payment,"2 payments: 725.00 GBP on 2026-09-12, 725.00 GBP on 2026-09-15 (Total: 1450.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1450.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_051,1477.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 1007.00 USD on 2026-10-25 (Total: 1477.00 USD, Option: NONE)",2026-10-25,none,Partially affordable up to 1477.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_052,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_053,1531.00,partially_affordable,partial_payment,"2 payments: 765.50 GBP on 2026-09-12, 765.50 GBP on 2026-09-27 (Total: 1531.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1531.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_054,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_055,1585.00,partially_affordable,partial_payment,"2 payments: 792.50 EUR on 2026-09-12, 792.50 EUR on 2026-09-15 (Total: 1585.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1585.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_056,470.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve across all evaluated payment plans over 90 days.
req_057,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_058,1666.00,partially_affordable,partial_payment,"2 payments: 833.00 EUR on 2026-09-12, 833.00 EUR on 2026-09-27 (Total: 1666.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1666.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_059,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_060,1720.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_061,1747.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 1277.00 EUR on 2026-10-25 (Total: 1747.00 EUR, Option: NONE)",2026-10-25,none,Partially affordable up to 1747.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_062,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_063,1801.00,partially_affordable,partial_payment,"2 payments: 900.50 USD on 2026-09-12, 900.50 USD on 2026-09-27 (Total: 1801.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1801.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_064,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_065,1855.00,partially_affordable,partial_payment,"2 payments: 927.50 GBP on 2026-09-12, 927.50 GBP on 2026-09-15 (Total: 1855.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1855.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_066,1882.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 1412.00 USD on 2026-10-25 (Total: 1882.00 USD, Option: NONE)",2026-10-25,none,Partially affordable up to 1882.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_067,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_068,136.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_069,163.00,partially_affordable,partial_payment,"2 payments: 81.50 USD on 2026-09-12, 81.50 USD on 2026-09-22 (Total: 163.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 163.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_070,190.00,partially_affordable,partial_payment,"2 payments: 95.00 EUR on 2026-09-12, 95.00 EUR on 2026-09-15 (Total: 190.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 190.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_071,217.00,partially_affordable,partial_payment,"2 payments: 108.50 GBP on 2026-09-12, 108.50 GBP on 2026-09-25 (Total: 217.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 217.00 GBP. Paying above this amount breaches your 800.00 EUR reserve.
req_072,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_073,271.00,partially_affordable,partial_payment,"2 payments: 135.50 EUR on 2026-09-12, 135.50 EUR on 2026-09-27 (Total: 271.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 271.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_074,298.00,partially_affordable,partial_payment,"2 payments: 149.00 GBP on 2026-09-12, 149.00 GBP on 2026-09-22 (Total: 298.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 298.00 GBP. Paying above this amount breaches your 500.00 USD reserve.
req_075,325.00,partially_affordable,partial_payment,"2 payments: 162.50 USD on 2026-09-12, 162.50 USD on 2026-09-15 (Total: 325.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 325.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_076,352.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_077,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_078,406.00,partially_affordable,partial_payment,"2 payments: 203.00 USD on 2026-09-12, 203.00 USD on 2026-09-27 (Total: 406.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 406.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_079,433.00,partially_affordable,partial_payment,"2 payments: 216.50 EUR on 2026-09-12, 216.50 EUR on 2026-09-22 (Total: 433.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 433.00 EUR. Paying above this amount breaches your 500.00 USD reserve.
req_080,460.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_081,487.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 17.00 USD on 2026-09-25 (Total: 487.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 487.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_082,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_083,541.00,partially_affordable,partial_payment,"2 payments: 270.50 GBP on 2026-09-12, 270.50 GBP on 2026-09-27 (Total: 541.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 541.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_084,568.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_085,595.00,partially_affordable,partial_payment,"2 payments: 297.50 EUR on 2026-09-12, 297.50 EUR on 2026-09-15 (Total: 595.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 595.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_086,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_087,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_088,676.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_089,703.00,partially_affordable,partial_payment,"2 payments: 351.50 GBP on 2026-09-12, 351.50 GBP on 2026-09-22 (Total: 703.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 703.00 GBP. Paying above this amount breaches your 500.00 USD reserve.
req_090,730.00,partially_affordable,partial_payment,"2 payments: 365.00 USD on 2026-09-12, 365.00 USD on 2026-09-15 (Total: 730.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 730.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_091,757.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 287.00 EUR on 2026-09-25 (Total: 757.00 EUR, Option: NONE)",2026-09-25,none,Partially affordable up to 757.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_092,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_093,811.00,partially_affordable,partial_payment,"2 payments: 405.50 USD on 2026-09-12, 405.50 USD on 2026-09-27 (Total: 811.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 811.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_094,838.00,partially_affordable,partial_payment,"2 payments: 419.00 EUR on 2026-09-12, 419.00 EUR on 2026-09-22 (Total: 838.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 838.00 EUR. Paying above this amount breaches your 500.00 USD reserve.
req_095,865.00,partially_affordable,partial_payment,"2 payments: 432.50 GBP on 2026-09-12, 432.50 GBP on 2026-09-15 (Total: 865.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 865.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_096,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_097,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_098,946.00,partially_affordable,partial_payment,"2 payments: 473.00 GBP on 2026-09-12, 473.00 GBP on 2026-09-27 (Total: 946.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 946.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_099,973.00,partially_affordable,partial_payment,"2 payments: 486.50 USD on 2026-09-12, 486.50 USD on 2026-09-22 (Total: 973.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 973.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_100,1000.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_101,470.00,not_affordable,not_recommended,NONE,2026-10-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-10-25.
req_102,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_103,1081.00,partially_affordable,partial_payment,"2 payments: 540.50 EUR on 2026-09-12, 540.50 EUR on 2026-09-27 (Total: 1081.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1081.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_104,1050.00,not_affordable,not_recommended,NONE,2026-10-22,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-10-22.
req_105,1135.00,partially_affordable,partial_payment,"2 payments: 567.50 USD on 2026-09-12, 567.50 USD on 2026-09-15 (Total: 1135.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1135.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_106,1162.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 692.00 EUR on 2026-10-25 (Total: 1162.00 EUR, Option: NONE)",2026-10-25,none,Partially affordable up to 1162.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_107,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_108,1216.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_109,1050.00,not_affordable,not_recommended,NONE,2026-10-22,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-10-22.
req_110,1270.00,partially_affordable,partial_payment,"2 payments: 635.00 GBP on 2026-09-12, 635.00 GBP on 2026-09-15 (Total: 1270.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1270.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_111,1297.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 827.00 USD on 2026-10-25 (Total: 1297.00 USD, Option: NONE)",2026-10-25,none,Partially affordable up to 1297.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_112,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_113,1351.00,partially_affordable,partial_payment,"2 payments: 675.50 GBP on 2026-09-12, 675.50 GBP on 2026-09-27 (Total: 1351.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1351.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_114,1378.00,partially_affordable,partial_payment,"2 payments: 1050.00 USD on 2026-09-12, 328.00 USD on 2026-10-22 (Total: 1378.00 USD, Option: NONE)",2026-10-22,none,Partially affordable up to 1378.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_115,1405.00,partially_affordable,partial_payment,"2 payments: 702.50 EUR on 2026-09-12, 702.50 EUR on 2026-09-15 (Total: 1405.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1405.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_116,470.00,not_affordable,not_recommended,NONE,2026-10-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-10-25.
req_117,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_118,1486.00,partially_affordable,partial_payment,"2 payments: 743.00 EUR on 2026-09-12, 743.00 EUR on 2026-09-27 (Total: 1486.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1486.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_119,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_120,1540.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_121,1567.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 1097.00 EUR on 2026-10-25 (Total: 1567.00 EUR, Option: NONE)",2026-10-25,none,Partially affordable up to 1567.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_122,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_123,1621.00,partially_affordable,partial_payment,"2 payments: 810.50 USD on 2026-09-12, 810.50 USD on 2026-09-27 (Total: 1621.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1621.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_124,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_125,1675.00,partially_affordable,partial_payment,"2 payments: 837.50 GBP on 2026-09-12, 837.50 GBP on 2026-09-15 (Total: 1675.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1675.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_126,1702.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 1232.00 USD on 2026-10-25 (Total: 1702.00 USD, Option: NONE)",2026-10-25,none,Partially affordable up to 1702.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_127,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
